listing_id,Agent,sold_price,street_number,street_name,suburb,postcode,state,Municipality,Lister,property_type,bedrooms,NumberBathrooms,bathrooms,toilets,buildingsize,landsize,garages,carports,AirConditioning,AlarmSystem,TennisCourt,sold_date,year_built,longitude,latitude
122988822,JZKZOS,599000,Lot 76,Northumberland Drive - Somerfield,Keysborough,3173,Vic,,,Residential,2,0,1,2.0,14.6,161.0,1.0,,0,0,0,2018-09-04,,145.16333899999998,-38.010275
123285110,JZKZOS,775000,Lot 62,Portobello Street - Somerfield Estate,Keysborough,3173,Vic,,,Residential,3,0,2,3.0,24.5,271.0,2.0,,0,0,0,2018-05-25,,145.1720104,-37.991847899999996
123287514,VTFRXI,580000,48,Bona Vista Rise,Clyde,3978,Vic,,,Residential,4,0,2,,23.89588113,385.0,2.0,0.0,0,0,0,2018-01-25,,145.33064299999998,-38.133137
123486174,JZKZOS,745000,Lot 46,Portobello Street - Somerfield Estate,Keysborough,3173,Vic,,,Residential,3,0,2,3.0,24.5,242.0,2.0,,0,0,0,2018-03-20,,145.1720104,-37.991847899999996
123885026,DWEKGC,590000,52,Stawell Street,Coburg,3058,Vic,Moreland,,Residential,3,0,1,1.0,11.0,385.0,1.0,,0,0,0,2018-02-16,,144.960432,-37.73401
123932890,DXGFPB,540000,84,McClelland Avenue,Lara,3212,Vic,,,Residential,4,0,3,3.0,21.95837725,840.0,0.0,2.0,0,0,0,2019-01-05,,144.422364,-38.026182
124003590,NMUQRM,803000,3,Flowerbloom Crescent,Clyde North,3978,Vic,Casey,,Residential,5,0,2,4.0,40.90285958,576.0,2.0,0.0,0,0,0,2018-10-03,,145.346136,-38.077059999999996
124277830,NOGLIL,350000,13,East Street,Yea,3717,Vic,,,Residential,5,0,2,2.0,26.0,3000.0,0.0,1.0,0,0,0,2018-09-26,,145.42379,-37.218493
124740598,LMRBDJ,725000,40,Campaspe Way,Point Cook,3030,Vic,,,Residential,5,0,3,,37.99875655,506.0,2.0,0.0,0,0,0,2018-12-07,,144.719853,-37.878678
125024670,EAGHIS,675000,115,Monbulk Road,Kallista,3791,Vic,Yarra Ranges,,Residential,3,0,2,3.0,21.20490352,1017.0,,2.0,0,0,0,2018-02-14,,145.371383,-37.881327
125175670,TJDMOU,620127,LOT 6110,Gamesley Avenue ,Werribee,3030,Vic,,,Residential,4,0,2,,37.0,400.0,2.0,,0,0,0,2018-05-25,,144.6584688,-37.9029
125741094,GNSTWK,345000,36,Armidale Drive,Pakenham,3810,Vic,,,Residential,3,0,2,0.0,1.62857965,140.709,2.0,0.0,0,0,0,2018-01-08,,145.488845,-38.07566
125745950,LAZDKX,595000,42,Newmarket Parade,Mickleham,3064,Vic,,,Residential,4,0,2,,32.72228767,512.0,2.0,,0,0,0,2018-08-31,,144.904042,-37.534290000000006
125783710,ZPCAOR,665000,10,Coleman Court,New Gisborne,3438,Vic,,,Residential,3,0,2,,16.39946335,798.0,2.0,0.0,0,0,0,2018-07-13,,144.599321,-37.467744
126287498,XEJTLA,1000000,60,Salamander Drive,Taylors Lakes,3038,Vic,,,Residential,4,0,4,4.0,32.82992677,1231.0,0.0,0.0,0,0,0,2018-12-19,,144.784635,-37.689962
126390426,OQLHMN,570000,17,Millgrove Way,Berwick,3806,Vic,,,Residential,4,0,2,,28.09380619,577.0,,3.0,0,0,0,2018-04-03,,145.339896,-38.058553
126456534,XMZDNM,1700000,222,Army Road,Pakenham,3810,Vic,,,Residential,6,0,3,4.0,57.93567143,20234.3,5.0,0.0,0,0,0,2018-08-31,,145.501385,-38.048758
126483286,GQELNT,550000,55,WATTLE DRIVE,Doveton,3177,Vic,,,Residential,2,0,1,1.0,9.04168475,599.0,0.0,0.0,0,0,0,2018-02-10,,145.231998,-37.997696999999995
126548494,ADRASI,589000,68,O'Reilly Road,Tarneit,3029,Vic,,,Residential,4,0,2,0.0,23.89588113,462.0,2.0,0.0,0,0,0,2018-01-08,,144.661874,-37.856871999999996
126551214,XGPNOR,1500000,4,Canrobert Street,Caulfield North,3161,Vic,,,Residential,4,0,2,,20.3545546,241.7,2.0,0.0,0,0,0,2018-01-29,,145.020666,-37.870726
126634382,GDPVFR,1200000,20,Kolora Crescent,Mount Eliza,3930,Vic,,,Residential,5,0,3,,35.0,1250.0,2.0,,0,0,0,2018-02-14,,145.084195,-38.195137
126689750,OQLHMN,595000,8,Botanic Drive,Pakenham,3810,Vic,,,Residential,4,0,2,,22.38893367,560.0,,2.0,0,0,0,2018-08-20,,145.442567,-38.062785
126726722,DVAURA,1325000,2407/163,City Road,Southbank,3006,Vic,,,Residential,3,0,3,1.0,21.20490352,315.0,2.0,0.0,0,0,0,2019-01-08,,144.962683,-37.824249
126945246,SWFWIL,1000000,26,Pasco Street,Williamstown,3016,Vic,,,Residential,3,0,1,1.0,23.03476829,440.0,0.0,0.0,0,0,0,2018-04-23,,144.900164,-37.860926
126982834,LGXPXX,740000,15,Kilburn Crescent,Frankston,3199,Vic,,,Residential,4,0,2,2.0,26.0,605.0,2.0,1.0,0,0,0,2018-08-14,,145.161217,-38.158839
126995550,KYNMXR,430000,8/75,Lorimer Street,Crib Point,3919,Vic,,,Residential,3,0,2,,1.50694746,218.0,2.0,0.0,0,0,0,2018-03-23,,145.20026399999998,-38.35695
127044994,AGJFUX,740000,2,Balconies Way,Craigieburn,3064,Vic,,,Residential,4,0,2,2.0,34.0,573.0,2.0,,0,0,0,2019-01-18,,144.926022,-37.571543
127231658,MDWKEM,480000,12,Munro Drive,Wyndham Vale,3024,Vic,,,Residential,3,0,2,2.0,18.94448233,417.0,2.0,,0,0,0,2018-01-05,,144.612335,-37.888877
127251778,NOBNOR,300000,1/7,Page Street,Norlane,3214,Vic,,,Residential,3,0,1,,13.0,274.0,1.0,,0,0,0,2018-01-02,,144.344697,-38.088339000000005
127251862,EUKHAX,1700000,21,Parer Street,Mount Martha,3934,Vic,,,Residential,5,0,5,5.0,54.3577476,798.0,2.0,0.0,0,0,0,2018-01-02,,145.027559,-38.256664
127253162,MOOMON,2250000,3-4,Branca Court,Narre Warren North,3804,Vic,,,Residential,5,0,5,6.0,8.61112833,4000.0,10.0,0.0,0,0,0,2018-01-02,,145.27805,-37.996103999999995
127256138,XRWBUE,650000,20,Serendip Avenue,South Morang,3752,Vic,,,Residential,4,0,2,0.0,26.02713539,508.0,2.0,0.0,0,0,0,2018-01-03,,145.10884,-37.620573
127257018,QDISPM,600000,35,Martaban Crescent,Point Cook,3030,Vic,,,Residential,4,0,2,2.0,21.85073815,480.0,2.0,0.0,0,0,0,2018-01-03,,144.71764,-37.900051
127258722,DKEPGM,436700,Lot 1826,Element Estate,Truganina,3029,Vic,,,Residential,3,0,2,2.0,17.0,294.0,2.0,,0,0,0,2018-01-03,,144.72672480000003,-37.8522302
127258906,QDISPM,720000,3,Pankhurst Promenade,Point Cook,3030,Vic,,,Residential,4,0,2,0.0,37.35076915,631.0,2.0,0.0,0,0,0,2018-01-03,,144.73700300000002,-37.895196999999996
127258938,ILTNBU,545000,2,Hidden Valley Drive,Tarneit,3029,Vic,,,Residential,4,0,2,2.0,20.98962531,520.0,2.0,,0,0,0,2018-01-03,,144.71027800000002,-37.846895
127260502,XSLCRA,520000,12,KENNEDY COURT,Cranbourne North,3977,Vic,,,Residential,3,0,1,,11.84030146,707.0,3.0,0.0,0,0,0,2018-01-04,,145.264751,-38.078002000000005
127261314,VQMJCF,500000,13,Fishburn Place,Cranbourne West,3977,Vic,,,Residential,3,0,2,2.0,13.61096472,444.0,2.0,0.0,0,0,0,2018-01-04,,145.261746,-38.109512
127261966,IUTNOE,400000,1915/250,Elizabeth Street,Melbourne,3000,Vic,,,Residential,1,0,1,1.0,6.88890267,64.0,0.0,0.0,0,0,0,2018-01-04,,144.96322,-37.812473
127262490,POIFVV,400000,lot 904,Mercer Street,Harkness,3337,Vic,,,Residential,4,0,2,2.0,21.69,336.0,2.0,,0,0,0,2018-01-04,,144.57142,-37.654705
127263514,WKCKRU,550000,21,Seaview Parade,Dromana,3936,Vic,,,Residential,3,0,1,1.0,18.0,1064.0,2.0,0.0,0,0,0,2018-01-04,,144.96621299999998,-38.341186
127263638,DBHRMN,417750,Lot 751,Fleur Street,Wallan,3756,Vic,,,Residential,4,0,2,2.0,24.0,412.0,2.0,,0,0,0,2018-01-04,,144.9791852,-37.414112599999996
127263770,DKEPGM,537300,Lot 716,CornerStone Estate,Werribee,3030,Vic,,,Residential,4,0,2,2.0,24.0,482.0,2.0,,0,0,0,2018-01-04,,144.6584688,-37.9029
127264214,DBHRMN,400000,Lot 751 ,Fluer street,Wallan,3756,Vic,,,Residential,4,0,2,,24.0,412.0,2.0,,0,0,0,2018-01-04,,144.9791852,-37.414112599999996
127264270,DBHRMN,395000,Lot 751,Fluer Road,Wallan,3756,Vic,,,Residential,4,0,2,,24.0,412.0,2.0,,0,0,0,2018-01-04,,144.9791852,-37.414112599999996
127264326,DBHRMN,388000,Lot 751,Fleur Road,Wallan,3756,Vic,,,Residential,4,0,2,,20.0,412.0,2.0,,0,0,0,2018-01-04,,144.9791852,-37.414112599999996
127265018,AWKXRU,320000,3 ,Colonial Way (Willandra Estate),Melton,3337,Vic,,,Residential,3,0,2,2.0,16.47,263.0,2.0,,0,0,0,2018-01-05,,144.570777,-37.654241
127265374,XBPSTA,540000,1/32,George Street,St Albans,3021,Vic,,,Residential,3,0,2,3.0,17.31374991,216.0,1.0,0.0,0,0,0,2018-01-05,,144.805271,-37.73152
127266074,MWWYQU,100000,Beachbox F11,McCrae Foreshore,Mccrae,3938,Vic,,,Residential,1,0,1,0.0,1.61458656,15.0,0.0,0.0,0,0,0,2018-01-05,,144.92866469999998,-38.3486304
127269730,GRMNAA,1150000,9,Bellavista Court,Narre Warren North,3804,Vic,,,Residential,5,0,3,3.0,47.94676256,1473.0,2.0,0.0,0,0,0,2018-01-05,,145.28108600000002,-37.995957000000004
127270298,VNZJHZ,539000,23,Altamont Road,Craigieburn,3064,Vic,,,Residential,3,0,2,,20.35347821,336.0,2.0,,0,0,0,2018-02-07,,144.89093300000002,-37.600097
127270378,VNZJHZ,495000,3,Sona Street,Craigieburn,3064,Vic,,,Residential,3,0,2,,16.40312308,313.0,2.0,,0,0,0,2018-02-07,,144.89179099999998,-37.600401
127270398,VNZJHZ,595000,14,Zeal Way,Craigieburn,3064,Vic,,,Residential,4,0,2,,28.69658517,448.0,2.0,,0,0,0,2018-02-03,,144.893397,-37.600198
127270442,VNZJHZ,539000,15,Style Way,Tarneit,3029,Vic,,,Residential,3,0,2,,20.30181144,336.0,2.0,,0,0,0,2018-02-03,,144.67085500000002,-37.829988
127270494,VNZJHZ,495000,13,Altamont Road,Craigieburn,3064,Vic,,,Residential,3,0,2,,16.27072699,312.0,2.0,,0,0,0,2018-01-10,,144.891848,-37.600173999999996
127271566,CJKSTL,610000,29,Wattlehill Grove,St Leonards,3223,Vic,,,Residential,4,0,2,2.0,19.80559517,676.0,2.0,0.0,0,0,0,2018-01-06,,144.70400700000002,-38.191027000000005
127271986,POIFVV,450000,lot 913,Mercer Street,Melton West,3337,Vic,,,Residential,4,0,2,2.0,25.7,440.0,2.0,,0,0,0,2018-01-06,,144.572046,-37.654796999999995
127271998,XRWXJD,660000,10,Gardenia Court,Narre Warren South,3805,Vic,,,Residential,3,0,2,2.0,2.50368556,788.0,2.0,0.0,0,0,0,2018-01-06,,145.313944,-38.059895000000004
127273342,OQLHMN,590000,31,Broadhurst Way,Caroline Springs,3023,Vic,,,Residential,3,0,2,,24.00352023,448.0,,2.0,0,0,0,2018-01-07,,144.728095,-37.742839000000004
127274098,XMZDNM,600000,7,Poorinda Rise,Narre Warren,3805,Vic,,,Residential,4,0,2,0.0,16.08128216,657.0,2.0,0.0,0,0,0,2018-01-08,,145.321098,-38.037262
127274358,XMZDNM,595000,74,The Parkway,Hampton Park,3976,Vic,,,Residential,4,0,2,0.0,15.6076701,568.0,2.0,0.0,0,0,0,2018-01-08,,145.276871,-38.05199
127274458,BOOMOU,980000,34,Victoria Street,Safety Beach,3936,Vic,,,Residential,5,0,2,0.0,25.51046769,650.0,3.0,0.0,0,0,0,2018-01-08,,144.996893,-38.31322
127274534,VQMJCF,560000,93,Selandra Boulevard,Clyde North,3978,Vic,,,Residential,4,0,2,0.0,16.93163109,448.0,2.0,0.0,0,0,0,2018-01-08,,145.323831,-38.113019
127275106,VQMJCF,550000,20,Michaelia Close,Cranbourne West,3977,Vic,,,Residential,4,0,2,0.0,16.99621455,593.0,2.0,0.0,0,0,0,2018-01-08,,145.26209599999999,-38.096865
127275338,VNZJHZ,576000,10,Daisybank Terrace,Botanic Ridge,3977,Vic,,,Residential,4,0,2,,25.51907882,400.0,2.0,,0,0,0,2018-01-15,,145.287093,-38.146596
127275602,VNZJHZ,559000,13,Riverwood Drive,Botanic Ridge,3977,Vic,,,Residential,4,0,2,,25.51907882,400.0,2.0,,0,0,0,2018-01-10,,145.285449,-38.14611
127275746,SFRPNN,640000,1A,Fiona Court,Mount Martha,3934,Vic,,,Residential,3,0,2,1.0,17.22225667,414.0,1.0,0.0,0,0,0,2018-01-08,,145.048751,-38.251135
127275886,VNZJHZ,529000,4,Abbeygate Drive,Werribee,3030,Vic,,,Residential,4,0,2,,25.79248214,400.0,2.0,,0,0,0,2018-02-07,,144.59618799999998,-37.898478999999995
127276130,KRZTOT,400000,10,Empress Way,Melton West,3337,Vic,,,Residential,3,0,1,1.0,8.9997055,674.0,1.0,2.0,0,0,0,2018-01-08,,144.561551,-37.681467
127276478,VNZJHZ,515000,20,Chancellor Avenue,Werribee,3030,Vic,,,Residential,4,0,2,,25.67084995,400.0,2.0,,0,0,0,2018-01-10,,144.596543,-37.899821
127277866,MSTOAY,595000,5,Maldon Court,Narre Warren,3805,Vic,,,Residential,3,0,2,2.0,14.63891817,569.0,0.0,0.0,0,0,0,2018-01-08,,145.299041,-38.002478
127278210,AGJFUX,600000,7 ,Gander Street ,Doreen,3754,Vic,,,Residential,3,0,2,2.0,23.0,448.0,2.0,,0,0,0,2018-04-27,,145.12021299999998,-37.604892
127278938,NECLOO,1900000,1/32-34,Pepperell Avenue,Glen Waverley,3150,Vic,,,Residential,4,0,3,,30.0,340.0,2.0,0.0,0,0,0,2018-01-08,,145.151535,-37.879723999999996
127279126,XNRGWY,750000,14,Lotus Crescent,Mulgrave,3170,Vic,,,Residential,3,0,1,,13.0243316,654.0,1.0,2.0,0,0,0,2018-01-08,,145.174573,-37.928726
127279686,XSLCRA,650000,131,ELMSLIE DRIVE,Cranbourne East,3977,Vic,,,Residential,4,0,2,,2.6909776,530.0,2.0,0.0,0,0,0,2018-01-08,,145.294152,-38.118633
127279718,ITPETB,550000,Lot 1/6,Victory Avenue,Wandin North,3139,Vic,,,Residential,3,0,1,1.0,11.0,378.0,2.0,0.0,0,0,0,2018-01-08,,145.428474,-37.783676
127279858,MZEWYG,700000,101,Arena ave,Roxburgh Park,3064,Vic,,,Residential,4,0,3,,32.0,434.0,2.0,,0,0,0,2018-01-08,,144.91689499999998,-37.626598
127280838,XRWCHB,1100000,22,Lansell Avenue,Highett,3190,Vic,,,Residential,3,0,1,1.0,11.40974504,615.0,1.0,1.0,0,0,0,2018-01-08,,145.02389399999998,-37.951459
127282454,DDIRLP,630000,36 ,Tamar Avenue ,Point Cook,3030,Vic,,,Residential,4,0,2,2.0,206.01,409.0,2.0,,0,0,0,2018-01-09,,144.720136,-37.88191
127286746,BWAATM,470000,58/88,Southbank Boulevard,Southbank,3006,Vic,Southbank,,Residential,2,0,1,,7.6423764,76.0,1.0,,0,0,0,2018-01-09,,144.964497,-37.823445
127286870,SBUSEY,850000,17,Renishaw Drive,Officer,3809,Vic,,,Residential,4,0,3,3.0,32.0,512.0,2.0,0.0,0,0,0,2018-01-09,,145.39954699999998,-38.054161
127287250,ELDWHI,550000,1,Kiewa Court,Whittlesea,3757,Vic,,,Residential,4,0,2,2.0,17.22225667,602.0,2.0,0.0,0,0,0,2018-01-09,,145.111658,-37.504571999999996
127288182,GRMNAA,630000,10,Maybury Court,Berwick,3806,Vic,,,Residential,4,0,2,2.0,17.54517398,651.0,0.0,0.0,0,0,0,2018-01-09,,145.362796,-38.058946
127289190,AWKXRU,549988,17,Bendigo Strret (Merrifield Estate),Mickleham,3064,Vic,,,Residential,4,0,2,2.0,23.65,400.0,2.0,,0,0,0,2018-01-09,,144.8762457,-37.564306099999996
127290266,VYAGES,570000,11,CAMDOLLE CLOSE,Pakenham,3810,Vic,Cardinia,,Residential,4,0,2,2.0,23.0,448.0,2.0,,0,0,0,2018-01-10,,145.440658,-38.067137
127291906,BXGUJI,550000,2006/100,Harbour Esplanade,Docklands,3008,Vic,Docklands,,Residential,2,0,1,,7.96529371,77.0,1.0,,0,0,0,2018-01-10,,144.946986,-37.818274
127292254,PVYRQD,550000,30,Harrap Road,Mount Martha,3934,Vic,,,Residential,3,0,1,1.0,15.0,502.0,1.0,0.0,0,0,0,2018-01-10,,145.047434,-38.251327
127292622,OQLHMN,420000,27,Willandra Boulevard,Harkness,3337,Vic,,,Residential,4,0,2,,20.5590689,493.0,,2.0,0,0,0,2018-01-10,,144.57086,-37.65579
127293710,XDYSUN,600000,1/22,Ferndale Road,Sunshine North,3020,Vic,,,Residential,3,0,2,3.0,2.04514298,200.0,1.0,0.0,0,0,0,2018-01-10,,144.839015,-37.766795
127294318,XSLCRA,590000,55,BORONIA AVENUE,Cranbourne,3977,Vic,,,Residential,3,0,2,,2.90625581,549.0,2.0,0.0,0,0,0,2018-01-10,,145.291496,-38.088837
127294630,XHSBAL,360000,407/377,Burwood Road,Hawthorn,3122,Vic,,,Residential,1,0,1,0.0,6.02778983,63.0,1.0,0.0,0,0,0,2018-01-10,,145.036728,-37.822375
127294686,PVYRQD,1000000,22,Spinnaker Terrace,Safety Beach,3936,Vic,,,Residential,4,0,3,3.0,36.0,176.0,2.0,0.0,0,0,0,2018-01-10,,145.00527,-38.304839
127294934,MWXJCK,650000,12,Eton Court,Dandenong,3175,Vic,,,Residential,3,0,1,,10.01043669,539.0,0.0,1.0,0,0,0,2018-01-10,,145.230087,-37.978802
127295006,WOUMEL,469000,5,Rigel Street,Melton,3337,Vic,,,Residential,4,0,2,0.0,16.46878294,583.0,2.0,0.0,0,0,0,2018-01-10,,144.579542,-37.677251
127295810,DBHRMN,365000,Lot 471,Boronia Avenue,Wallan,3756,Vic,,,Residential,3,0,2,2.0,19.0,362.0,2.0,,0,0,0,2018-01-10,,144.97104299999998,-37.395391
127296754,XBSELS,1300000,7,Lamellah Street,Caulfield,3162,Vic,,,Residential,2,0,1,,59.09386819,621.0,0.0,2.0,0,0,0,2018-01-10,,145.02084399999998,-37.885093
127298726,UVKRNB,530000,56/1,Umbrella Way,Point Cook,3030,Vic,,,Residential,4,0,2,0.0,19.69795606,163.0,2.0,0.0,0,0,0,2018-01-11,,144.723264,-37.907576
127298950,LPHAYE,369965,272,AKUNA ST,Rockbank,3335,Vic,,,Residential,3,0,2,,16.0,263.0,1.0,,0,0,0,2018-01-11,,144.67070880000003,-37.735358399999996
127298954,LPHAYE,383395,413,ADELONG BLVD,Rockbank,3335,Vic,,,Residential,3,0,2,,17.0,200.0,1.0,,0,0,0,2018-01-11,,144.67070880000003,-37.735358399999996
127299462,PVYRQD,690000,42,Hakea Drive,Mount Martha,3934,Vic,,,Residential,3,0,2,2.0,20.0,452.0,1.0,0.0,0,0,0,2018-01-11,,145.040979,-38.249776000000004
127299474,VFLTYD,780000,14,Argyle Court,Berwick,3806,Vic,,,Residential,4,0,2,2.0,26.04866321,742.0,4.0,0.0,0,0,0,2018-01-11,,145.32497,-38.02803
127299482,PAZRYE,595000,46,Vincent St,Tootgarook,3941,Vic,,,Residential,3,0,1,1.0,12.0,560.0,0.0,2.0,0,0,0,2018-01-11,,144.85251200000002,-38.377764
127300166,ZLTRYK,658000,42,Rosemary Drive,Hastings,3915,Vic,,,Residential,5,0,2,2.0,2.6909776,850.0,2.0,0.0,0,0,0,2018-01-11,,145.18126,-38.305943
127302110,XNWCOL,55555,92,Lennon Boulevard,Point Cook,3030,Vic,,,Residential,2,0,2,,3.55209044,306.580032,,1.0,0,0,0,2018-01-11,,144.740469,-37.894251000000004
127302534,MAQALT,1200000,5,Leicester Square,Seaholme,3018,Vic,,,Residential,4,0,3,3.0,29.0,299.0,1.0,1.0,0,0,0,2018-01-11,,144.842262,-37.863487
127303374,OQLHMN,550000,1,Ralph Avenue,St Albans,3021,Vic,,,Residential,3,0,2,,17.22225667,537.0,,2.0,0,0,0,2018-01-11,,144.82560800000002,-37.74595
127303494,LCPSOM,580000,25,Kathleen Crescent,Tyabb,3913,Vic,,,Residential,3,0,2,2.0,16.0,420.0,2.0,,0,0,0,2018-01-11,,145.185933,-38.264881
127303502,BWAATM,518888,203/33,Batman Street,West Melbourne,3003,Vic,,,Residential,2,0,1,,6.02778983,91.0,1.0,,0,0,0,2018-01-11,,144.950633,-37.810988
127304442,BARVVL,750000,208,Alisma Boulevard,Cranbourne North,3977,Vic,,,Residential,4,0,2,2.0,36.0590999,527.0,2.0,0.0,0,0,0,2018-01-11,,145.326929,-38.078351
127305138,BWAATM,360000,1612/220,Spencer Street,Melbourne,3000,Vic,,,Residential,1,0,1,,4.52084238,46.0,,,0,0,0,2018-01-11,,144.952889,-37.815546999999995
127305550,XWPALT,595000,3/100,Railway St Sth,Altona,3018,Vic,,,Residential,2,0,1,1.0,1.24861361,282.0,1.0,0.0,0,0,0,2018-05-04,,144.824409,-37.866933
127305570,IOWGLO,900000,2/60-62,Beleura Hill Road,Mornington,3931,Vic,,,Residential,3,0,2,,20.0,242.0,2.0,0.0,0,0,0,2018-01-11,,145.051651,-38.218301000000004
127307062,QDISPM,470000,48,Tyler Crescent,Tarneit,3029,Vic,,,Residential,3,0,2,2.0,17.11461756,380.0,2.0,0.0,0,0,0,2018-01-11,,144.654177,-37.841353999999995
127307506,BHKIHU,1500000,762,Pakenham Road,Pakenham Upper,3810,Vic,,,Residential,4,0,3,4.0,49.94454433,40000.0,3.0,0.0,0,0,0,2018-01-11,,145.513326,-38.016494
127307670,LFLCOB,439900,21,Bacchus Drive,Epping,3076,Vic,,,Residential,3,0,2,3.0,15.93058742,228.0,1.0,1.0,0,0,0,2018-01-11,,145.03188899999998,-37.626202
127309826,XRWBUE,700000,3,Mayfield Drive,Mill Park,3082,Vic,,,Residential,4,0,2,2.0,2.5833385,678.0,2.0,0.0,0,0,0,2018-01-12,,145.06955,-37.674321
127311090,XBPCOB,740000,14,Gale Street,Brunswick East,3057,Vic,,,Residential,2,0,1,1.0,9.04168475,156.0,0.0,0.0,0,0,0,2018-01-12,,144.973276,-37.769371
127312322,LSTQSH,600000,7,Charles Farrer Court,Mornington,3931,Vic,,,Residential,2,0,2,,11.7,504.0,0.0,0.0,0,0,0,2018-01-12,,145.047618,-38.23843
127314626,TJBZNW,475000,LOT 420,Little Green Estate,Tarneit,3029,Vic,Wyndham,,Residential,3,0,2,2.0,15.0,238.0,1.0,,0,0,0,2018-01-12,,144.6884754,-37.847378799999994
127315054,UFJXFB,500000,11,Hanley Street,Mernda,3754,Vic,,,Residential,3,0,2,2.0,17.76045219,357.0,2.0,0.0,0,0,0,2018-01-12,,145.06733799999998,-37.605311
127316366,XOHEQX,660000,11,Forrester Walk,Narre Warren South,3805,Vic,,,Residential,4,0,2,3.0,2.5833385,541.0,2.0,0.0,0,0,0,2018-01-15,,145.29464199999998,-38.061605
127317154,DWEKGC,580000,36A,Hudson Street,Fawkner,3060,Vic,,,Residential,3,0,1,1.0,12.9166925,220.0,1.0,1.0,0,0,0,2018-01-13,,144.967386,-37.700804999999995
127317166,XRWBUE,450000,39,Marley Boulevard,Doreen,3754,Vic,,,Residential,4,0,2,2.0,26.90977604,258.0,2.0,0.0,0,0,0,2018-01-13,,145.130569,-37.576626
127320566,XMIMEL,380000,125/173,City Road,Southbank,3006,Vic,,,Residential,1,0,1,0.0,6.02778983,62.0,1.0,0.0,0,0,0,2018-01-15,,144.96260900000001,-37.824745
127320762,XRWBUE,600000,44,Main Street,Thomastown,3074,Vic,,,Residential,3,0,1,2.0,1.93750388,570.0,2.0,0.0,0,0,0,2018-01-15,,145.008544,-37.679466999999995
127320898,XFNALU,645000,1/204,Civic Parade,Altona,3018,Vic,,,Residential,2,0,1,1.0,12.9166925,245.0,2.0,0.0,0,0,0,2018-01-15,,144.821742,-37.863794
127320934,XRHSUN,520000,30,Woodstock Close,Sunbury,3429,Vic,,,Residential,3,0,2,2.0,17.22225667,718.0,0.0,2.0,0,0,0,2018-01-15,,144.716443,-37.566983
127321230,XNRGWY,750000,396,Wellington Road,Mulgrave,3170,Vic,,,Residential,3,0,1,,12.70141429,664.0,2.0,,0,0,0,2018-01-15,,145.166006,-37.920023
127321290,OYGHHQ,580000,53,Windorah Drive,Point Cook,3030,Vic,,,Residential,4,0,2,2.0,20.0,400.0,2.0,0.0,0,0,0,2018-01-15,,144.726497,-37.898758
